poster,imdb-id,title,release-year,runtime,genre,imdb-rating,metascore,overview,votes,directors,cast,language
"https://m.media-amazon.com/images/M/MV5BYjViMTFkNDYtMGZiOC00Yjg5LWEwMzQtYjdlYWZlZDQ4ZDU5XkEyXkFqcGdeQXVyNzI1NzMxNzM@._V1_UX67_CR0,0,67,98_AL_.jpg",tt1002784,Yu guang qu,1934,56.0,Drama,6.3,,About the trials and tribulations of the family of a poor fisherman.,136,"[{'id': 'nm0161529', 'name': 'Chusheng Cai'}]","[{'id': 'nm1328424', 'name': 'Renmei Wang'}, {'id': 'nm0359174', 'name': 'Langen Han'}, {'id': 'nm0526831', 'name': 'Peng Luo'}, {'id': 'nm1361239', 'name': 'Congmei Yuan'}]",cmn
"https://m.media-amazon.com/images/M/MV5BMTI4NTUwOTg0OF5BMl5BanBnXkFtZTcwMDk1MDE0MQ@@._V1_UY98_CR1,0,67,98_AL_.jpg",tt0209510,Zi mei hua,1934,82.0,Drama,6.2,,"Twin girls separated at birth are reunited when the one raised in poverty becomes a servant in the household of her sister, now the pampered wife of a warlord general.",108,"[{'id': 'nm0955604', 'name': 'Zhengqiu Zheng'}]","[{'id': 'nm1361250', 'name': 'Xiaoqiu Zheng'}, {'id': 'nm1360959', 'name': 'Zhiyuan Tan'}, {'id': 'nm1361223', 'name': 'Jinglin Xuan'}, {'id': 'nm1389634', 'name': 'Meijun Gu'}]",cmn
"https://m.media-amazon.com/images/M/MV5BOGU0OGJlNTQtMjg3OS00MzhlLTk5MzUtMTE2YjhlN2JkYjExXkEyXkFqcGdeQXVyNjQwMjYzNjY@._V1_UX67_CR0,0,67,98_AL_.jpg",tt0211498,Man Bo nu lang,1957,91.0,"Drama, Romance",6.4,,A woman finds out she's adopted and seeks to find her long lost mother.,110,"[{'id': 'nm0947945', 'name': 'Wen Yi'}]","[{'id': 'nm0151700', 'name': 'Grace Chang'}, {'id': 'nm1424545', 'name': 'Peter Chen Hou'}, {'id': 'nm2400148', 'name': 'Chien-Fei Chang'}, {'id': 'nm3082237', 'name': 'Tien-Chu Chin'}]",cmn
"https://m.media-amazon.com/images/M/MV5BNzNlYjRjYjMtYzQyNC00MmZhLTk2NjQtY2QzYjc1YWU4YzQwXkEyXkFqcGdeQXVyNzI1NzMxNzM@._V1_UY98_CR3,0,67,98_AL_.jpg",tt0081770,Nü lan wu hao,1957,86.0,"Drama, Romance, Sport",6.2,,"""Woman Basketball Player No. 5"" not only explores the problems that a young female athlete faces in coming to grips with her ambitions in the field of sports, it portrays the fate of two ...                See full summary »",125,"[{'id': 'nm0944527', 'name': 'Jin Xie'}]","[{'id': 'nm12199845', 'name': 'Qiwei Cao'}, {'id': 'nm0514995', 'name': 'Qiong Liu'}, {'id': 'nm1311087', 'name': 'Yi Qin'}, {'id': 'nm3271949', 'name': 'Ke Bi'}]",cmn
"https://m.media-amazon.com/images/M/MV5BMzFjNDUwYmEtYjg2YS00MzYwLThlM2EtYjY0ZGJmNzQ2YjNlXkEyXkFqcGdeQXVyMzU0NzkwMDg@._V1_UY98_CR1,0,67,98_AL_.jpg",tt0059029,Ching nu yu hun,1960,83.0,"Drama, Fantasy, Horror",6.8,,"A young scholar spends the night in a creepy temple that is said to be haunted. He doesn't believe in the rumors, but after running into a Taoist swordsman, he meets a beautiful lady ghost.",239,"[{'id': 'nm0497379', 'name': 'Han Hsiang Li'}]","[{'id': 'nm0224395', 'name': 'Betty Loh Ti'}, {'id': 'nm0955495', 'name': 'Lei Zhao'}, {'id': 'nm0849327', 'name': 'Rhoqing Tang'}, {'id': 'nm0157378', 'name': 'Chih-Ching Yang'}]",cmn
"https://m.media-amazon.com/images/M/MV5BNDIzMTc3NTE5MV5BMl5BanBnXkFtZTgwMzY4Nzk1MDE@._V1_UY98_CR3,0,67,98_AL_.jpg",tt0054034,Liu san jie,1960,117.0,Musical,7.4,,"This is the first musical film in China which tells the story of Liu San Jie (Liu the Third Sister), a legendary folk female singer of Zhuang minority in Guangxi Autonomous Region.",191,"[{'id': 'nm0498300', 'name': 'Su Li'}]","[{'id': 'nm0399054', 'name': 'Wanqiu Huang'}, {'id': 'nm0944467', 'name': 'Zongxue Xia'}, {'id': 'nm0955369', 'name': 'Ju-ke Zhang'}, {'id': 'nm0955413', 'name': 'Wen-jun Zhang'}]",cmn
"https://m.media-amazon.com/images/M/MV5BNDQ1ZDQyMjgtZTI5MS00ZjhmLTgwY2MtYjRiNGQwY2FjMzBkL2ltYWdlXkEyXkFqcGdeQXVyNjQwMjYzNjY@._V1_UX67_CR0,0,67,98_AL_.jpg",tt0199156,Ye mei gui zhi lian,1960,128.0,Musical,7.1,,Grace Chang seduces as Hong Kong's most sensual Carmen ever. The torrid passions of Bizet's famous opera gets a postmodern reading when it is transposed to the noir-like setting of Hong ...                See full summary »,187,"[{'id': 'nm0911048', 'name': 'Tian-Lin Wang'}]","[{'id': 'nm0151700', 'name': 'Grace Chang'}, {'id': 'nm0151860', 'name': 'Yang Chang'}, {'id': 'nm1910621', 'name': 'Po-Chien Chin'}, {'id': 'nm2652484', 'name': 'Chi Hsieh'}]",cmn
"https://m.media-amazon.com/images/M/MV5BMWUyYTk0MjItZmZmZS00NmI3LTk5NzUtYjJkYTBiNzNmMDZmXkEyXkFqcGdeQXVyNzI1NzMxNzM@._V1_UY98_CR2,0,67,98_AL_.jpg",tt0042054,Wuya yu maque,1949,113.0,Drama,7.2,,A story of a corrupt party official who attempts to sell an apartment building he has appropriated from the original owner and the struggles of the tenants to prevent themselves being thrown onto the street.,292,"[{'id': 'nm0955622', 'name': 'Junli Zheng'}]","[{'id': 'nm0955486', 'name': 'Dan Zhao'}, {'id': 'nm0943200', 'name': 'Yinyan Wu'}, {'id': 'nm0838937', 'name': 'Daolin Sun'}, {'id': 'nm0788112', 'name': 'Yunzhu Shangguan'}]",cmn
"https://m.media-amazon.com/images/M/MV5BYTJlZmMyNDctODA3NC00OTk0LWI4MTAtMTVjZGU0NmZhMTk3XkEyXkFqcGdeQXVyMTk2MDc1MjQ@._V1_UY98_CR0,0,67,98_AL_.jpg",tt0470084,San Mao liu lang ji,1949,74.0,"Comedy, Drama",6.6,,"Three Hairs was the name of a popular comic character, a street urchin with a bald head save for three thin stalks sticking straight up towards the sky. After a night on the streets, Three ...                See full summary »",179,"[{'id': 'nm1253896', 'name': 'Ming Zhao'}, {'id': 'nm1284825', 'name': 'Gong Yan'}]","[{'id': 'nm10006493', 'name': 'Mo Cheng'}, {'id': 'nm1273363', 'name': 'Longji Wang'}, {'id': 'nm12257853', 'name': 'Long Gongboan'}, {'id': 'nm12257854', 'name': 'Ma Fei'}]",cmn
"https://m.media-amazon.com/images/M/MV5BNmE5OGYwYjAtOTgxYi00NjQ4LTk4OWQtMzllODFjZGFmZWRiXkEyXkFqcGdeQXVyNzQ1NDIxMDQ@._V1_UX67_CR0,0,67,98_AL_.jpg",tt0183828,Ma lu tian shi,1937,91.0,"Comedy, Drama",7.0,,"In old Shanghai, two sisters, a prostitute and a singer, tried to escape from the local scoundrels with the help of a trumpet player and a newspaper seller.",916,"[{'id': 'nm0950615', 'name': 'Muzhi Yuan'}]","[{'id': 'nm0955486', 'name': 'Dan Zhao'}, {'id': 'nm0917648', 'name': 'Heling Wei'}, {'id': 'nm1152104', 'name': 'Xuan Zhou'}, {'id': 'nm1494603', 'name': 'Jiting Wang'}]",cmn
