poster,imdb-id,title,release-year,runtime,genre,imdb-rating,metascore,overview,votes,directors,cast,language
"https://m.media-amazon.com/images/M/MV5BYjFhNmRkNTAtMzdjYy00NGM1LWE4ZTUtZTJjYWYwOWI5MmUyXkEyXkFqcGdeQXVyMzU0NzkwMDg@._V1_UY98_CR1,0,67,98_AL_.jpg",tt0090288,Walter og Carlo - op på fars hat,1985,86.0,Comedy,5.4,,"Walter's a handsome airline steward who catches the eye of Inge, winner of Malaga's Miss Moonlight contest. Carlo is a motor-mouthed goof who has a ""heel bar"" (a combination shoe shop and ...                See full summary »",896,"[{'id': 'nm0392324', 'name': 'Per Holst'}]","[{'id': 'nm0827200', 'name': 'Ole Stephensen'}, {'id': 'nm0295740', 'name': 'Jarl Friis-Mikkelsen'}, {'id': 'nm0120381', 'name': 'Poul Bundgaard'}, {'id': 'nm0738231', 'name': 'Kirsten Rolffes'}]",da
"https://m.media-amazon.com/images/M/MV5BOTdhNzJlZmEtZGVjYi00MDM4LThhYzAtZmQwYmMxOTY1ZmEzXkEyXkFqcGdeQXVyNjY5ODE5MTg@._V1_UY98_CR2,0,67,98_AL_.jpg",tt0089443,Den kroniske uskyld,1985,97.0,Drama,5.8,,"Danish high school seniors Janus and Tore are BFFs. They meet the new girl in school, Helle, at a party and Tore falls in love and starts dating her. Helle's mom is also interested in Tore.",621,"[{'id': 'nm0281653', 'name': 'Edward Fleming'}]","[{'id': 'nm0647586', 'name': 'Allan Olsen'}, {'id': 'nm0937622', 'name': 'Susse Wold'}, {'id': 'nm0070583', 'name': 'Simone Bendix'}, {'id': 'nm0019347', 'name': 'Thomas Algren'}]",da
"https://m.media-amazon.com/images/M/MV5BYmRiMTMxOTgtZWNiNy00NzIyLWIxMmQtMjU1OTk3MWQxOGMzXkEyXkFqcGdeQXVyNDUxNjc5NjY@._V1_UY98_CR2,0,67,98_AL_.jpg",tt0123890,Hodja fra Pjort,1985,76.0,"Family, Fantasy",5.4,,Adventure film about the boy Hodja who gets a magic carpet of a wise old carpet man. A wicked and desirous of power sultan will get their hands on the carpet.,336,"[{'id': 'nm0927431', 'name': 'Brita Wielopolska'}]","[{'id': 'nm0077876', 'name': 'David Bertelsen'}, {'id': 'nm0960059', 'name': 'Zuhal Ödemir'}, {'id': 'nm0432640', 'name': 'Lars Junggren'}, {'id': 'nm0092670', 'name': 'Holger Boland'}]",da
"https://m.media-amazon.com/images/M/MV5BZWMxNThlYTItMDE5NS00OGJmLWE0YWItNTI2NDNhYTg4Zjk3XkEyXkFqcGdeQXVyMTAwNzIyMzAy._V1_UY98_CR2,0,67,98_AL_.jpg",tt0045194,Det store løb,1952,101.0,"Comedy, Drama, Family",5.9,,"Landlord Wilhelm Stone, who owns the beautiful old estate ""Elleholm"", has because of his weakness for games and beautiful young women, put his marriage in disarray, lost his family and all his friends.",152,"[{'id': 'nm0641045', 'name': ""Alice O'Fredericks""}]","[{'id': 'nm0717086', 'name': 'Poul Reichhardt'}, {'id': 'nm0391725', 'name': 'Grethe Holmer'}, {'id': 'nm0778270', 'name': 'Ib Schønberg'}, {'id': 'nm0583207', 'name': 'Johannes Meyer'}]",da
"https://m.media-amazon.com/images/M/MV5BODFlMWY3YzYtZjE0Yy00OTA2LTk0ZDEtOGVkN2IwMDdmYTUwXkEyXkFqcGdeQXVyMjA0MzYwMDY@._V1_UY98_CR2,0,67,98_AL_.jpg",tt0045079,"Rekrut 67, Petersen",1952,78.0,"Comedy, Family, Musical",5.7,,Grete lives in a property at Christianshavn together with many festive people.,129,"[{'id': 'nm0051926', 'name': 'Poul Bang'}]","[{'id': 'nm0110452', 'name': 'Lily Broberg'}, {'id': 'nm0491468', 'name': 'Gunnar Lauring'}, {'id': 'nm0612760', 'name': 'Kate Mundt'}, {'id': 'nm0778270', 'name': 'Ib Schønberg'}]",da
"https://m.media-amazon.com/images/M/MV5BNjkwN2M2MTMtMjZhMy00NjFhLTgxNzEtOTZjMzkyZDU3ODMzXkEyXkFqcGdeQXVyNjY0ODg0MTA@._V1_UY98_CR3,0,67,98_AL_.jpg",tt0045750,Far til fire,1953,97.0,"Comedy, Family",6.1,,"Denmarks most popular film family is ready. Ole has some problems at school and Søs feels like she has to take action, but her actions doesn't come without consequences",566,"[{'id': 'nm0641045', 'name': ""Alice O'Fredericks""}]","[{'id': 'nm0116793', 'name': 'Birgitte Price'}, {'id': 'nm0627109', 'name': 'Ole Neumann'}, {'id': 'nm0778270', 'name': 'Ib Schønberg'}, {'id': 'nm0361072', 'name': 'Rudi Hansen'}]",da
"https://m.media-amazon.com/images/M/MV5BZTllOGNjOGQtOWU5My00NmQxLTkzNzUtNmYxNzMxNjExMjcyXkEyXkFqcGdeQXVyNDYxOTY1Njg@._V1_UY98_CR2,0,67,98_AL_.jpg",tt0047644,Ved Kongelunden...,1953,88.0,"Comedy, Musical, Romance",6.8,,The good people of a small community in the countryside near Copenhagen enjoy life and find their way to love.,275,"[{'id': 'nm0051926', 'name': 'Poul Bang'}]","[{'id': 'nm0664850', 'name': 'Dirch Passer'}, {'id': 'nm0819825', 'name': 'Ove Sprogøe'}, {'id': 'nm0585699', 'name': 'Louis Miehe-Renard'}, {'id': 'nm0755595', 'name': 'Birgit Sadolin'}]",da
"https://m.media-amazon.com/images/M/MV5BZDFiNDNmYjYtMTA2OS00ZjU5LWE5NjAtYmRmMzFmMDdlNWYwXkEyXkFqcGdeQXVyMjE3MTkyNg@@._V1_UY98_CR1,0,67,98_AL_.jpg",tt0045776,Fløjtespilleren,1953,98.0,"Drama, Family",6.0,,Circus Karla has been on tour in Germany and is now returning to Denmark.,161,"[{'id': 'nm0641045', 'name': ""Alice O'Fredericks""}]","[{'id': 'nm0295569', 'name': 'Helga Frier'}, {'id': 'nm0539049', 'name': 'Peter Malberg'}, {'id': 'nm0717086', 'name': 'Poul Reichhardt'}, {'id': 'nm0391725', 'name': 'Grethe Holmer'}]",da
"https://m.media-amazon.com/images/M/MV5BMjY3NGRkNmItYzAwMC00YmVmLTlkZTAtMThkZWFlN2YyNDJjXkEyXkFqcGdeQXVyNDYxOTY1Njg@._V1_UY98_CR3,0,67,98_AL_.jpg",tt0045801,Den gamle mølle paa Mols,1953,107.0,"Comedy, Drama, Family",6.6,,Who is the father of Annemarie' (Annemette Svendsen) - is it the inn-owner (Ib Schønberg) or the miller (Knud Heglund)? Will she marry the miller's son (Louis Miehe-Renard) without knowing ...                See full summary »,109,"[{'id': 'nm0715862', 'name': 'Annelise Reenberg'}]","[{'id': 'nm0778270', 'name': 'Ib Schønberg'}, {'id': 'nm0512082', 'name': 'Henny Lindorff Buckhøj'}, {'id': 'nm0373787', 'name': 'Knud Heglund'}, {'id': 'nm0489821', 'name': 'Inger Lassen'}]",da
"https://m.media-amazon.com/images/M/MV5BY2ZlYmNiYzUtYzg4OS00MWRmLThlZWItNGUxYWNlODhhM2I3XkEyXkFqcGdeQXVyNzc5MjA3OA@@._V1_UY98_CR2,0,67,98_AL_.jpg",tt0080662,Du er ikke alene,1978,90.0,"Drama, Romance",7.1,,Two precocious boys explore their sexuality at boarding school.,4134,"[{'id': 'nm0630903', 'name': 'Lasse Nielsen'}, {'id': 'nm0423784', 'name': 'Ernst Johansen'}]","[{'id': 'nm0012967', 'name': 'Anders Agensø'}, {'id': 'nm0084793', 'name': 'Peter Bjerg'}, {'id': 'nm0819825', 'name': 'Ove Sprogøe'}, {'id': 'nm0717822', 'name': 'Elin Reimer'}]",da
