poster,imdb-id,title,release-year,runtime,genre,imdb-rating,metascore,overview,votes,directors,cast,language
"https://m.media-amazon.com/images/M/MV5BMTY2MDFjY2QtYjY0YS00YmVkLTg1OTQtZDViYTgwZDBkNmViXkEyXkFqcGdeQXVyNjc1NTYyMjg@._V1_UX67_CR0,0,67,98_AL_.jpg",tt0010726,"Die Spinnen, 1. Teil - Der Goldene See",1919,81.0,"Adventure, Western",6.5,,"Kay Hoog finds a message that indicates that some Incas are still alive, but the secret organisation ""Die Spinnen"" wants the Incas' gold....",1378,"[{'id': 'nm0000485', 'name': 'Fritz Lang'}]","[{'id': 'nm0212234', 'name': 'Carl de Vogt'}, {'id': 'nm0196820', 'name': 'Lil Dagover'}, {'id': 'nm0649916', 'name': 'Ressel Orla'}, {'id': 'nm0313308', 'name': 'Georg John'}]",de
"https://m.media-amazon.com/images/M/MV5BYmYxNTNkNGQtMzk3MS00YWRkLTk2NTAtNjkxZGZlMjRmMmVlXkEyXkFqcGdeQXVyMzg1ODEwNQ@@._V1_UX67_CR0,0,67,98_AL_.jpg",tt0009893,Die Austernprinzessin,1919,60.0,Comedy,7.2,,An American heiress seeks the hand of an impoverished German prince.,2098,"[{'id': 'nm0523932', 'name': 'Ernst Lubitsch'}]","[{'id': 'nm0418131', 'name': 'Victor Janson'}, {'id': 'nm0652661', 'name': 'Ossi Oswalda'}, {'id': 'nm0509573', 'name': 'Harry Liedtke'}, {'id': 'nm0266254', 'name': 'Julius Falkenstein'}]",de
"https://m.media-amazon.com/images/M/MV5BZjUzZDk3OTQtNWM4OC00ZWY0LTg4ZmQtZjlkZmRmNmU0ODVjXkEyXkFqcGdeQXVyOTI2MjI5MQ@@._V1_UX67_CR0,0,67,98_AL_.jpg",tt0010821,Unheimliche Geschichten,1919,112.0,"Fantasy, Horror, Mystery",6.5,,"A demon, a reaper, and the ghost of a prostitute read gothic short stories and act them out.",612,"[{'id': 'nm0652650', 'name': 'Richard Oswald'}]","[{'id': 'nm0073318', 'name': 'Anita Berber'}, {'id': 'nm0891998', 'name': 'Conrad Veidt'}, {'id': 'nm0778306', 'name': 'Reinhold Schünzel'}, {'id': 'nm0246842', 'name': 'Hugo Döblin'}]",de
"https://m.media-amazon.com/images/M/MV5BOThkNDhmMmYtZjAzYS00MjY1LWIzYTYtN2M3ZDVkOWVjNmJmXkEyXkFqcGdeQXVyNDE5MTU2MDE@._V1_UY98_CR0,0,67,98_AL_.jpg",tt0033750,Ich klage an,1941,125.0,Drama,6.2,,"In this pro-euthanasia melodrama, a successful doctor is forced to make a heart-wrenching decision after his beautiful young wife is diagnosed with multiple sclerosis.",179,"[{'id': 'nm0509327', 'name': 'Wolfgang Liebeneiner'}]","[{'id': 'nm0003624', 'name': 'Heidemarie Hatheyer'}, {'id': 'nm0367111', 'name': 'Paul Hartmann'}, {'id': 'nm0927436', 'name': 'Mathias Wieman'}, {'id': 'nm0351776', 'name': 'Margarete Haagen'}]",de
"https://m.media-amazon.com/images/M/MV5BMTFjMTAwNWEtMWZhZS00NDJhLWE0N2ItNGY1YzY2MDViMWYwXkEyXkFqcGdeQXVyMzg1ODEwNQ@@._V1_UY98_CR1,0,67,98_AL_.jpg",tt0034076,"Quax, der Bruchpilot",1941,92.0,Comedy,5.8,,Add a Plot,554,"[{'id': 'nm0389219', 'name': 'Kurt Hoffmann'}]","[{'id': 'nm0004464', 'name': 'Heinz Rühmann'}, {'id': 'nm0385381', 'name': 'Karin Himboldt'}, {'id': 'nm0278692', 'name': 'Lothar Firmans'}, {'id': 'nm0509573', 'name': 'Harry Liedtke'}]",de
"https://m.media-amazon.com/images/M/MV5BNTcxYjA0Y2QtYWU0ZS00MzQ5LTg5N2YtYzJhZGU0NjJmOWJjXkEyXkFqcGdeQXVyMzg1ODEwNQ@@._V1_UY98_CR2,0,67,98_AL_.jpg",tt0033973,Ohm Krüger,1941,135.0,"Biography, War",6.4,,"Rousing biopic of Paul Kruger, the Boer guerilla fighter turned statesman and first president of South Africa.",270,"[{'id': 'nm0537881', 'name': 'Herbert Maisch'}, {'id': 'nm0002489', 'name': 'Karl Anton'}, {'id': 'nm0826094', 'name': 'Hans Steinhoff'}]","[{'id': 'nm0417837', 'name': 'Emil Jannings'}, {'id': 'nm0405828', 'name': 'Lucie Höflich'}, {'id': 'nm0386076', 'name': 'Werner Hinz'}, {'id': 'nm0775650', 'name': 'Ernst Schröder'}]",de
"https://m.media-amazon.com/images/M/MV5BNmJiZDU2ZjctMzg1Yy00YWYxLTk1NDMtMTNmZWE5MzU1ZTViXkEyXkFqcGdeQXVyNjYwODc0NzI@._V1_UY98_CR0,0,67,98_AL_.jpg",tt0140578,Stukas,1941,101.0,"Drama, War",5.2,,This Nazi propaganda film details the exploits of a group of German Luftwaffe pilots flying Stukas--dive bombers--in the Battle of France in the early days of World War II.,184,"[{'id': 'nm0728774', 'name': 'Karl Ritter'}]","[{'id': 'nm0705384', 'name': 'Carl Raddatz'}, {'id': 'nm0826406', 'name': 'Hannes Stelzer'}, {'id': 'nm0902545', 'name': 'Ernst von Klipstein'}, {'id': 'nm0373828', 'name': 'Albert Hehn'}]",de
"https://m.media-amazon.com/images/M/MV5BYjYzODhlZTUtNWQzOS00YTlmLTg5MjctMTgyNjJiM2JmNGZiXkEyXkFqcGdeQXVyMzg1ODEwNQ@@._V1_UY98_CR2,0,67,98_AL_.jpg",tt0159449,Friedemann Bach,1941,102.0,"Drama, Music",6.7,,"During a house concert, the Bach family gets a visit by their son Wilhelm Friedemann, who has just given up his position in Dresden because he no longer could endure the reprisals of his superiors.",100,"[{'id': 'nm0345073', 'name': 'Gustaf Gründgens'}, {'id': 'nm0618325', 'name': 'Traugott Müller'}]","[{'id': 'nm0345073', 'name': 'Gustaf Gründgens'}, {'id': 'nm0546444', 'name': 'Leny Marenbach'}, {'id': 'nm0726256', 'name': 'Johannes Riemann'}, {'id': 'nm0394806', 'name': 'Camilla Horn'}]",de
"https://m.media-amazon.com/images/M/MV5BNmQ5NmNiZWYtYmRlNS00ZTg1LWIxMTEtMzMzNmQ0ZTFmMGQ0XkEyXkFqcGdeQXVyMzU0NzkwMDg@._V1_UY98_CR1,0,67,98_AL_.jpg",tt0033359,"Auf Wiedersehn, Franziska!",1941,89.0,"Drama, Romance",6.8,,"Michael and Franziska's relationship suffers from the separations brought on by his photojournalism. Only after Michael's colleague lay dying in his arms does he decide to go home, but is asked by Franziska to join the war: as a soldier.",100,"[{'id': 'nm0477702', 'name': 'Helmut Käutner'}]","[{'id': 'nm0394365', 'name': 'Marianne Hoppe'}, {'id': 'nm0814355', 'name': 'Hans Söhnker'}, {'id': 'nm0643997', 'name': 'Fritz Odemar'}, {'id': 'nm0273102', 'name': 'Rudolf Fernau'}]",de
"https://m.media-amazon.com/images/M/MV5BMWYxNTU5Y2MtZDAyZC00NjNmLTk3YjgtMGYyMTk4NzE4MDdmXkEyXkFqcGdeQXVyNTcwNjUwNzk@._V1_UY98_CR3,0,67,98_AL_.jpg",tt0012494,Der müde Tod,1921,97.0,"Drama, Fantasy, Horror",7.6,,"When a woman's fiancé disappears, Death gives her three chances to save him from his fate.",6422,"[{'id': 'nm0000485', 'name': 'Fritz Lang'}]","[{'id': 'nm0324553', 'name': 'Bernhard Goetzke'}, {'id': 'nm0196820', 'name': 'Lil Dagover'}, {'id': 'nm0418079', 'name': 'Walter Janssen'}, {'id': 'nm0827905', 'name': 'Hans Sternberg'}]",de
