poster,imdb-id,title,release-year,runtime,genre,imdb-rating,metascore,overview,votes,directors,cast,language
"https://m.media-amazon.com/images/M/MV5BZmY5MGRlNjgtMzg1ZC00YWYxLWIxMDYtMzZhNjM0Y2RhZmY3XkEyXkFqcGdeQXVyMTQ2MjQyNDc@._V1_UX67_CR0,0,67,98_AL_.jpg",tt0032406,The Door with Seven Locks,1940,89.0,"Drama, Horror, Mystery",5.5,,A murder is found to be connected to a false heir and a secret underground torture chamber.,651,"[{'id': 'nm0497961', 'name': 'Norman Lee'}]","[{'id': 'nm0052203', 'name': 'Leslie Banks'}, {'id': 'nm0658339', 'name': 'Lilli Palmer'}, {'id': 'nm0526720', 'name': 'Romilly Lunge'}, {'id': 'nm0540352', 'name': 'Gina Malo'}]",it
"https://m.media-amazon.com/images/M/MV5BM2IyYjBhNTAtMWQ2Yy00NmY1LWI4ZmItOWIxYmI2NDdiNzQ1XkEyXkFqcGdeQXVyMzIzNDU1NTY@._V1_UY98_CR1,0,67,98_AL_.jpg",tt0032742,Maddalena... zero in condotta,1940,79.0,Comedy,6.4,,"A teacher writes sample letters to a fictional Mr. Hartman with her students, but the recipient really exists.",385,"[{'id': 'nm0001120', 'name': 'Vittorio De Sica'}]","[{'id': 'nm0001120', 'name': 'Vittorio De Sica'}, {'id': 'nm0073937', 'name': 'Vera Bergman'}, {'id': 'nm0215744', 'name': 'Carla Del Poggio'}, {'id': 'nm0226773', 'name': 'Irasema Dilián'}]",it
"https://m.media-amazon.com/images/M/MV5BODg4NmMzYTQtYmFjZS00NDQwLTgwMTYtZjdiNmU3NDk4OTAzXkEyXkFqcGdeQXVyOTI2MjI5MQ@@._V1_UY98_CR0,0,67,98_AL_.jpg",tt0032225,L'assedio dell'Alcazar,1940,112.0,"Drama, War",6.0,,"Set during the Spanish civil war, the story of a commander of a fort Alcazar in Toledo, faithful to general Franco.",226,"[{'id': 'nm0312866', 'name': 'Augusto Genina'}]","[{'id': 'nm0315984', 'name': 'Fosco Giachetti'}, {'id': 'nm0050249', 'name': 'Mireille Balin'}, {'id': 'nm0219166', 'name': 'Maria Denis'}, {'id': 'nm0130982', 'name': 'Rafael Calvo'}]",it
"https://m.media-amazon.com/images/M/MV5BZjIyZjVjZWUtNDk2ZC00OGZiLWIyYTAtOWJjMzM1OWYwZjFmXkEyXkFqcGdeQXVyMTQ3Njg3MQ@@._V1_UY98_CR0,0,67,98_AL_.jpg",tt0033017,San Giovanni decollato,1940,89.0,Comedy,6.5,,"Mastr'Antonio Miciaccio, caretaker and shoemaker devoted to Saint John Beheaded, is trying to find out who has been stealing the oil that keeps the candle to the saint burning. He also does...                See full summary »",208,"[{'id': 'nm0080615', 'name': 'Giorgio Bianchi'}, {'id': 'nm0657535', 'name': 'Amleto Palermi'}]","[{'id': 'nm0869451', 'name': 'Totò'}, {'id': 'nm0208377', 'name': 'Titina De Filippo'}, {'id': 'nm0413064', 'name': 'Silvana Jachino'}, {'id': 'nm0223884', 'name': 'Augusto Di Giovanni'}]",it
"https://m.media-amazon.com/images/M/MV5BODAxOTRhNTQtOGM1Ny00NTU4LWE2ZTUtNjk4NzU2MGMyMTVmL2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyOTc2Mzg5OQ@@._V1_UY98_CR1,0,67,98_AL_.jpg",tt0031878,Rose scarlatte,1940,65.0,Comedy,6.2,,A man poses as a mysterious admirer to find out whether his wife would cheat on him.,118,"[{'id': 'nm0001120', 'name': 'Vittorio De Sica'}, {'id': 'nm0024155', 'name': 'Giuseppe Amato'}]","[{'id': 'nm0001120', 'name': 'Vittorio De Sica'}, {'id': 'nm0756679', 'name': 'Renée Saint-Cyr'}, {'id': 'nm0578170', 'name': 'Umberto Melnati'}, {'id': 'nm0320221', 'name': 'Vivi Gioi'}]",it
"https://m.media-amazon.com/images/M/MV5BMTI3ODg3Njk0Ml5BMl5BanBnXkFtZTYwNDE0MTk5._V1_UX67_CR0,0,67,98_AL_.jpg",tt0035130,Noi vivi,1942,94.0,"Adventure, Drama, Romance",7.2,,"The time is the Russian Revolution. The place is a country burdened with fear - the midnight knock at the door, the bread hidden against famine, the haunted eyes of the fleeing, the ...                See full summary »",397,"[{'id': 'nm0018136', 'name': 'Goffredo Alessandrini'}]","[{'id': 'nm0315984', 'name': 'Fosco Giachetti'}, {'id': 'nm0885098', 'name': 'Alida Valli'}, {'id': 'nm0106387', 'name': 'Rossano Brazzi'}, {'id': 'nm0335961', 'name': 'Giovanni Grasso'}]",it
"https://m.media-amazon.com/images/M/MV5BMWQ5YjgxMTMtMTU1OS00OWNiLTllNzktNzhkY2Q0N2RhNjNlXkEyXkFqcGdeQXVyMzIzNDU1NTY@._V1_UX67_CR0,0,67,98_AL_.jpg",tt0033648,Un garibaldino al convento,1942,83.0,"Comedy, Drama",6.4,,"An old woman's poignant reminiscence of her youth in a convent school: the happy moments, the sad ones and the tragic love for a Garibaldian.",302,"[{'id': 'nm0001120', 'name': 'Vittorio De Sica'}]","[{'id': 'nm0181293', 'name': 'Leonardo Cortese'}, {'id': 'nm0580140', 'name': 'María Mercader'}, {'id': 'nm0215744', 'name': 'Carla Del Poggio'}, {'id': 'nm0346358', 'name': 'Fausto Guerzoni'}]",it
"https://m.media-amazon.com/images/M/MV5BMDdiNzgyNGItYzRjYy00ZGU2LWI1MzUtMjg3Y2ViZDhhODk0XkEyXkFqcGdeQXVyMDk1ODM3MA@@._V1_UY98_CR1,0,67,98_AL_.jpg",tt0035230,4 passi fra le nuvole,1942,95.0,"Comedy, Drama",7.5,,"A family man travelling for work, Paolo Bianchi, meets on a train a lonely girl, Maria. He sees her again on a bus and she reveals him that she's in troubles: she's pregnant, her baby's ...                See full summary »",498,"[{'id': 'nm0087704', 'name': 'Alessandro Blasetti'}]","[{'id': 'nm0148974', 'name': 'Gino Cervi'}, {'id': 'nm0070955', 'name': 'Adriana Benetti'}, {'id': 'nm0728404', 'name': 'Giuditta Rissone'}, {'id': 'nm0738856', 'name': 'Carlo Romano'}]",it
"https://m.media-amazon.com/images/M/MV5BNmRlZDM0OWEtNTQwNC00MTg2LThlYzEtZmYwZjkxNTA4NTRjXkEyXkFqcGdeQXVyMTgyNTY2MzE@._V1_UY98_CR1,0,67,98_AL_.jpg",tt0033456,La cena delle beffe,1942,87.0,"Drama, Romance",6.7,,This is an opera in four acts composed by Umberto Giordano . The story is set in Florence at the time of Lorenzo de'Medici recounts the rivalry between Gianneto Malespini and Neri ...                See full summary »,242,"[{'id': 'nm0087704', 'name': 'Alessandro Blasetti'}]","[{'id': 'nm0623443', 'name': 'Amedeo Nazzari'}, {'id': 'nm0884134', 'name': 'Osvaldo Valenti'}, {'id': 'nm0129278', 'name': 'Clara Calamai'}, {'id': 'nm0181305', 'name': 'Valentina Cortese'}]",it
"https://m.media-amazon.com/images/M/MV5BYjViZTUyODAtYmM1Mi00NzEwLWJhOTAtM2ExMmM5NTc2MDhkXkEyXkFqcGdeQXVyNjUwMTQ4NjE@._V1_UY98_CR1,0,67,98_AL_.jpg",tt0035021,Malombra,1942,135.0,"Drama, Mystery, Thriller",6.7,,"A nineteenth-century Italian noblewoman, imprisoned in a foreboding lakeside palazzo by her uncle, comes to believe she's possessed by a long ago mistress of the manor.",188,"[{'id': 'nm0812827', 'name': 'Mario Soldati'}]","[{'id': 'nm0592109', 'name': 'Isa Miranda'}, {'id': 'nm0154804', 'name': 'Andrea Checchi'}, {'id': 'nm0226773', 'name': 'Irasema Dilián'}, {'id': 'nm0876522', 'name': 'Gualtiero Tumiati'}]",it
