poster,imdb-id,title,release-year,runtime,genre,imdb-rating,metascore,overview,votes,directors,cast,language
"https://m.media-amazon.com/images/M/MV5BODVlZmU2ZGMtMTc3MS00ZWYzLThlZWEtMDA5NGYyZGNhNzBmXkEyXkFqcGdeQXVyMTc0MTEzMzM@._V1_UY98_CR0,0,67,98_AL_.jpg",tt1426332,Nobuko,1940,90.0,Drama,7.0,,A spirited young teacher challenges a conservative school with her liberal thinking and teaching methods.,121,"[{'id': 'nm0793646', 'name': 'Hiroshi Shimizu'}]","[{'id': 'nm1594794', 'name': 'Shinobu Aoki'}, {'id': 'nm0031885', 'name': 'Mariko Aoyama'}, {'id': 'nm1671321', 'name': 'Mitsuko Higashiyama'}, {'id': 'nm0385443', 'name': ""Shin'ichi Himori""}]",ja
"https://m.media-amazon.com/images/M/MV5BMDdhMDhlZmYtNDM0Ni00NWFiLTljYjgtYjZiOTlhYTQyZDNiXkEyXkFqcGdeQXVyMjcxNjI4NTk@._V1_UX67_CR0,0,67,98_AL_.jpg",tt0033131,Tabi yakusha,1940,70.0,Comedy,6.9,,Story about a group of actors mostly based on the guys playing the horse.,203,"[{'id': 'nm0621540', 'name': 'Mikio Naruse'}]","[{'id': 'nm0297869', 'name': 'Kamatari Fujiwara'}, {'id': 'nm0945855', 'name': 'Kan Yanagiya'}, {'id': 'nm0812286', 'name': 'Minoru Takase'}, {'id': 'nm0457954', 'name': 'Sôji Kiyokawa'}]",ja
"https://m.media-amazon.com/images/M/MV5BM2IwZmUyNTktMTU5OC00NzNhLThlYTMtYWI1NjVjNDZkODEyXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_UY98_CR1,0,67,98_AL_.jpg",tt0426900,Anma to onna,1938,66.0,Drama,7.1,,Two blind masseurs travel to a mountain retreat. One of them falls for a visiting lady from Tokyo and investigates a series of thefts.,772,"[{'id': 'nm0793646', 'name': 'Hiroshi Shimizu'}]","[{'id': 'nm0847302', 'name': 'Mieko Takamine'}, {'id': 'nm0865799', 'name': 'Shin Tokudaiji'}, {'id': 'nm0385443', 'name': ""Shin'ichi Himori""}, {'id': 'nm0468989', 'name': 'Jun Yokoyama'}]",ja
"https://m.media-amazon.com/images/M/MV5BMGY1ZmM1NDgtMGMwYy00OTMxLTg3YTMtNzUwZWY1OGFhZDA0XkEyXkFqcGdeQXVyMjcxNjI4NTk@._V1_UX67_CR0,0,67,98_AL_.jpg",tt0030899,Tsuruhachi Tsurujirô,1938,88.0,Drama,6.8,,"Mr. Tsurujiro is a Japanese folk singer assisted by Ms. Tsuruhachi on the shamisen. The pair is popular, but he nitpicks often on her music and so they split. She marries a benefactor, but after a joint show, feels music is above marriage.",175,"[{'id': 'nm0621540', 'name': 'Mikio Naruse'}]","[{'id': 'nm0367928', 'name': 'Kazuo Hasegawa'}, {'id': 'nm0945222', 'name': 'Isuzu Yamada'}, {'id': 'nm0297869', 'name': 'Kamatari Fujiwara'}, {'id': 'nm0645537', 'name': 'Heihachirô Ôkawa'}]",ja
"https://m.media-amazon.com/images/M/MV5BMGVjYzU4NjAtOWVkYi00OWQ3LWEwYzMtOTI2ZWY3YTQ1ZGM4L2ltYWdlXkEyXkFqcGdeQXVyNDQzMDg4Nzk@._V1_UX67_CR0,0,67,98_AL_.jpg",tt0034012,Penny Serenade,1941,119.0,"Drama, Romance",7.1,,A couple's big dreams give way to a life full of unexpected sadness and unexpected joy.,7683,"[{'id': 'nm0828419', 'name': 'George Stevens'}]","[{'id': 'nm0000026', 'name': 'Cary Grant'}, {'id': 'nm0002050', 'name': 'Irene Dunne'}, {'id': 'nm0094135', 'name': 'Beulah Bondi'}, {'id': 'nm0118000', 'name': 'Edgar Buchanan'}]",ja
"https://m.media-amazon.com/images/M/MV5BMTYzNjI5NDUzMF5BMl5BanBnXkFtZTcwNjMwNTcxMQ@@._V1_UY98_CR2,0,67,98_AL_.jpg",tt0033654,Genroku chûshingura,1941,241.0,"Drama, History",7.2,,"The legendary Forty-seven ronin plot to avenge the death of their lord, Asano Naganori, by killing Kira Yoshinaka, a shogunate official responsible for Asano being forced to commit seppuku.",2595,"[{'id': 'nm0003226', 'name': 'Kenji Mizoguchi'}]","[{'id': 'nm0442875', 'name': 'Chôjûrô Kawarasaki'}, {'id': 'nm0033141', 'name': 'Yoshizaburo Arashi'}, {'id': 'nm0406743', 'name': 'Utaemon Ichikawa'}, {'id': 'nm0620130', 'name': ""Kan'emon Nakamura""}]",ja
"https://m.media-amazon.com/images/M/MV5BMmMwNzNlNjItOWFmMi00MDNmLTkxOWYtMWE5Mzc5ODlhNGZhXkEyXkFqcGdeQXVyNDk4NzAyNzU@._V1_UY98_CR1,0,67,98_AL_.jpg",tt0034298,Toda-ke no kyôdai,1941,105.0,Drama,7.3,,"When the patriarch of the Toda family suddenly dies, his widow discovers that he has left her with nothing but debt and married children who are unwilling to support her--except for her most thoughtful son, just returned from China.",1361,"[{'id': 'nm0654868', 'name': 'Yasujirô Ozu'}]","[{'id': 'nm0847302', 'name': 'Mieko Takamine'}, {'id': 'nm0754955', 'name': 'Shin Saburi'}, {'id': 'nm0297793', 'name': 'Hideo Fujino'}, {'id': 'nm0441568', 'name': 'Ayako Katsuragi'}]",ja
"https://m.media-amazon.com/images/M/MV5BNjM2ZDIzZDgtZTZmMi00NjU0LTk0ZjUtMWUyOGExYWI0Yzc2XkEyXkFqcGdeQXVyMjYxMzY2NDk@._V1_UX67_CR0,0,67,98_AL_.jpg",tt0034333,Uma,1941,129.0,Drama,6.1,,"Ine Onoda, the eldest daughter of a poor family of farmers, raises a colt from birth and comes to love the horse dearly. When the horse is grown, the government orders it auctioned and sold to the army. Ine struggles to prevent the sale.",229,"[{'id': 'nm0945428', 'name': 'Kajirô Yamamoto'}]","[{'id': 'nm0847301', 'name': 'Hideko Takamine'}, {'id': 'nm0847511', 'name': 'Chieko Takehisa'}, {'id': 'nm0297869', 'name': 'Kamatari Fujiwara'}, {'id': 'nm0299397', 'name': 'Kaoru Futaba'}]",ja
"https://m.media-amazon.com/images/M/MV5BZTAyYjc3ZGEtNTkzZi00Y2I1LWE3ZDEtYWI1MmYyOTFmY2UwXkEyXkFqcGdeQXVyMzY2MDk0MTk@._V1_UY98_CR3,0,67,98_AL_.jpg",tt0427424,Kanzashi,1941,75.0,"Comedy, Drama",7.2,,"At a rural spa, a soldier accidentally cuts his foot on a hairpin. Soon enough he tracks down its lovely owner and finds himself smitten.",765,"[{'id': 'nm0793646', 'name': 'Hiroshi Shimizu'}]","[{'id': 'nm0849011', 'name': 'Kinuyo Tanaka'}, {'id': 'nm0442886', 'name': 'Hiroko Kawasaki'}, {'id': 'nm0756870', 'name': 'Tatsuo Saitô'}, {'id': 'nm0753479', 'name': 'Chishû Ryû'}]",ja
"https://m.media-amazon.com/images/M/MV5BNDQxYzJhNWYtNzE3NC00NTZhLWJmMzgtZTg2NDNmNGRjZTFiXkEyXkFqcGdeQXVyMzU0NzkwMDg@._V1_UX67_CR0,0,67,98_AL_.jpg",tt0033716,Hideko no shashô-san,1941,54.0,"Comedy, Drama",7.0,,"Okoma, a young lady working as a conductor with a bus company in Kofu Yamanashi, has an idea for her bus that could avert the dwindling number of passengers.",351,"[{'id': 'nm0621540', 'name': 'Mikio Naruse'}]","[{'id': 'nm0847301', 'name': 'Hideko Takamine'}, {'id': 'nm0297869', 'name': 'Kamatari Fujiwara'}, {'id': 'nm0622404', 'name': 'Daijirô Natsukawa'}, {'id': 'nm0457956', 'name': 'Tamae Kiyokawa'}]",ja
"https://m.media-amazon.com/images/M/MV5BNTE0OWM2ZTEtZjg5Mi00ZjNmLTliMTMtNWIyMTNmODdlZjdhXkEyXkFqcGdeQXVyMzU0NzkwMDg@._V1_UY98_CR3,0,67,98_AL_.jpg",tt1467406,Mikaheri no tô,1941,112.0,Drama,6.8,,"Problem kids come to a reformatory school where they live, study and work. Here there are no fences and no one is ever beaten. The kids steal, play pranks, run away and help fix a water problem. Reformed kids introspect and go back home.",106,"[{'id': 'nm0793646', 'name': 'Hiroshi Shimizu'}]","[{'id': 'nm5840326', 'name': 'Chimura Enoki'}, {'id': 'nm3534051', 'name': 'Teruo Furuya'}, {'id': 'nm5840337', 'name': 'Mamiko Harada'}, {'id': 'nm5840329', 'name': 'Tomio Hayashi'}]",ja
"https://m.media-amazon.com/images/M/MV5BMTI5MzUxMDEzNV5BMl5BanBnXkFtZTcwNDgwNTgyMQ@@._V1_UY98_CR1,0,67,98_AL_.jpg",tt0029314,Humanity and Paper Balloons,1937,86.0,Drama,7.7,,"The lives of two slum neighbors, one of a happy-go-lucky gambler and the other of a poor ronin, converge when the two get involved with the affairs of a powerful samurai official and his gangsters.",2209,"[{'id': 'nm0945537', 'name': 'Sadao Yamanaka'}]","[{'id': 'nm0442875', 'name': 'Chôjûrô Kawarasaki'}, {'id': 'nm0620130', 'name': ""Kan'emon Nakamura""}, {'id': 'nm1150210', 'name': 'Tsuruzô Nakamura'}, {'id': 'nm1722389', 'name': 'Chôemon Bandô'}]",ja
"https://m.media-amazon.com/images/M/MV5BYzJlYWU5NzktNDA2NS00YzA1LWFjMDEtMTFkMWM2Y2U0YWIyXkEyXkFqcGdeQXVyNDk4NzAyNzU@._V1_UX67_CR0,0,67,98_AL_.jpg",tt0029557,Shukujo wa nani o wasureta ka,1937,71.0,"Comedy, Drama",7.0,,"An affluent medical professor, Komiya, and his bossy wife, Tokio, are to look after Setsuko, their high-spirited niece from Osaka. Setsuko is a liberated woman who does what she wants, ...                See full summary »",1221,"[{'id': 'nm0654868', 'name': 'Yasujirô Ozu'}]","[{'id': 'nm0475732', 'name': 'Sumiko Kurishima'}, {'id': 'nm0756870', 'name': 'Tatsuo Saitô'}, {'id': 'nm0476673', 'name': 'Michiko Kuwano'}, {'id': 'nm0762966', 'name': 'Shûji Sano'}]",ja
"https://m.media-amazon.com/images/M/MV5BOGVmOTYyMzgtN2I3YS00NGE4LWJhNDUtMDI0MDczY2YzZWE5XkEyXkFqcGdeQXVyMjM3MDE4Njc@._V1_UY98_CR1,0,67,98_AL_.jpg",tt0028558,Aien kyo,1937,108.0,Drama,7.1,,"A young couple of lovers want to travel to Tokio to work and form a family there, but the parents of him want his son to regent their hotel. Finally, he does what his parents want him to, and her finds herself abandoned in the big city.",221,"[{'id': 'nm0003226', 'name': 'Kenji Mizoguchi'}]","[{'id': 'nm0297922', 'name': 'Taizô Fukami'}, {'id': 'nm2816033', 'name': 'Akira Harue'}, {'id': 'nm2804000', 'name': 'Kiyoshi Katô'}, {'id': 'nm0442951', 'name': 'Seizaburô Kawazu'}]",ja
"https://m.media-amazon.com/images/M/MV5BMTM5OTU3MjIxOV5BMl5BanBnXkFtZTcwMjYxODEzMQ@@._V1_UY98_CR1,0,67,98_AL_.jpg",tt0028028,Atarashiki tsuchi,1937,120.0,"Drama, Romance",5.7,,Teruo is an adopted son of an old samurai family that returns to Japan after living in Germany and is expected to marry Mitsuko. But he's struggling to readjust to Japan and intends to marry an Aryan woman.,137,"[{'id': 'nm0411632', 'name': 'Mansaku Itami'}, {'id': 'nm0266691', 'name': 'Arnold Fanck'}]","[{'id': 'nm0370564', 'name': 'Sessue Hayakawa'}, {'id': 'nm0467557', 'name': 'Isamu Kosugi'}, {'id': 'nm0361697', 'name': 'Setsuko Hara'}, {'id': 'nm0359226', 'name': 'Yuriko Hanabusa'}]",ja
"https://m.media-amazon.com/images/M/MV5BZGRiNmZmYjUtZDMxOS00MmVlLWI4NTQtZjM0ZWJjNGZlNDUyXkEyXkFqcGdeQXVyMjcxNjI4NTk@._V1_UX67_CR0,0,67,98_AL_.jpg",tt0029326,Nyonin aishû,1937,74.0,Drama,6.7,,The irresolute heroine marries without love and finds herself regarded as an extra worker in her mother-in-law's house. She has to re-appraise own life.,123,"[{'id': 'nm0621540', 'name': 'Mikio Naruse'}]","[{'id': 'nm0409960', 'name': 'Takako Irie'}, {'id': 'nm0757153', 'name': 'Hideo Saeki'}, {'id': 'nm0645537', 'name': 'Heihachirô Ôkawa'}, {'id': 'nm1149372', 'name': 'Chizuko Kanda'}]",ja
"https://m.media-amazon.com/images/M/MV5BMDVhN2M2ODEtZWFlZS00NmMxLTk1NTAtNGI0MDJjNzJhMjI0XkEyXkFqcGdeQXVyMjIzMTk0MzM@._V1_UY98_CR2,0,67,98_AL_.jpg",tt0029077,Kaze no naka no kodomo,1937,88.0,Drama,7.4,,"Two young boys are usurped from being the head of their gang of children. Their father is fired and arrested for this, and they are sent to live with their uncle, only to spend their time thinking of ways to escape back home.",301,"[{'id': 'nm0793646', 'name': 'Hiroshi Shimizu'}]","[{'id': 'nm0442848', 'name': 'Reikichi Kawamura'}, {'id': 'nm0948989', 'name': 'Mitsuko Yoshikawa'}, {'id': 'nm0370574', 'name': 'Masao Hayama'}, {'id': 'nm0031832', 'name': 'Tomio Aoki'}]",ja
"https://m.media-amazon.com/images/M/MV5BZjNjYTg2YTktNjliZS00NDk1LWExYTYtNjRlZmFlOGI2MDgxXkEyXkFqcGdeQXVyMjcxNjI4NTk@._V1_UX67_CR0,0,67,98_AL_.jpg",tt0029291,Nadare,1937,59.0,Drama,6.8,,"Avalanche is a study of a one-year marriage that begins to crumble. A married man is torn between the love of his wife, and the attraction to a cousin of his wife.",239,"[{'id': 'nm0621540', 'name': 'Mikio Naruse'}]","[{'id': 'nm0757153', 'name': 'Hideo Saeki'}, {'id': 'nm1148568', 'name': 'Ranko Edogawa'}, {'id': 'nm1149453', 'name': 'Noboru Kiritachi'}, {'id': 'nm1270165', 'name': 'Yô Shiomi'}]",ja
"https://m.media-amazon.com/images/M/MV5BODIwOTAxN2MtZTVjZi00NjRiLTkyNjAtYzk2ZGYzMWU4OTIzXkEyXkFqcGdeQXVyMjcxNjI4NTk@._V1_UX67_CR0,0,67,98_AL_.jpg",tt0029073,Kafuku zempen,1937,78.0,"Drama, Romance",6.7,,Add a Plot,102,"[{'id': 'nm0621540', 'name': 'Mikio Naruse'}]","[{'id': 'nm0847031', 'name': 'Minoru Takada'}, {'id': 'nm0409960', 'name': 'Takako Irie'}, {'id': 'nm0847511', 'name': 'Chieko Takehisa'}, {'id': 'nm0555475', 'name': 'Sadao Maruyama'}]",ja
"https://m.media-amazon.com/images/M/MV5BYTFhYTJhY2ItYjc1Yi00N2NjLWJlZGItN2E3ZTI5YWFhYjNmXkEyXkFqcGdeQXVyNjUwMTQ4NjE@._V1_UY98_CR1,0,67,98_AL_.jpg",tt0034591,Chichi ariki,1942,94.0,Drama,7.6,,"A schoolteacher struggles to raise his son Ryohei by himself, having neither money nor future prospects.",2981,"[{'id': 'nm0654868', 'name': 'Yasujirô Ozu'}]","[{'id': 'nm0753479', 'name': 'Chishû Ryû'}, {'id': 'nm0762966', 'name': 'Shûji Sano'}, {'id': 'nm0754955', 'name': 'Shin Saburi'}, {'id': 'nm0757104', 'name': 'Takeshi Sakamoto'}]",ja
"https://m.media-amazon.com/images/M/MV5BNTYzYjA0YzQtMDBiMi00Yzg3LWE5N2YtNzMxYjA0MjQ2MGRmXkEyXkFqcGdeQXVyNTc1OTA3Mjg@._V1_UY98_CR1,0,67,98_AL_.jpg",tt0035533,Hawai · Marê oki kaisen,1942,116.0,"Drama, History, War",6.0,,"When a boy who is in the navy college returns home for vacation he meets his young cousin who also wants to join in order to become a pilot. However, the younger man's mother is ...                See full summary »",120,"[{'id': 'nm0945428', 'name': 'Kajirô Yamamoto'}]","[{'id': 'nm0645676', 'name': 'Denjirô Ôkôchi'}, {'id': 'nm0475872', 'name': 'Yatarô Kurokawa'}, {'id': 'nm0361697', 'name': 'Setsuko Hara'}, {'id': 'nm0411703', 'name': 'Kaoru Itô'}]",ja
