poster,imdb-id,title,release-year,runtime,genre,imdb-rating,metascore,overview,votes,directors,cast,language
"https://m.media-amazon.com/images/M/MV5BYTg5ODM0NjEtZGM4My00MGUyLThmMjQtZTI5ZWI2YjNjOTdkXkEyXkFqcGdeQXVyNDUxNjc5NjY@._V1_UY98_CR0,0,67,98_AL_.jpg",tt0163816,Salinnabileul ggotneun yeoja,1978,110.0,"Drama, Fantasy, Horror",6.3,,"A depressed young man crosses paths with a woman who commits suicide, a book salesman obsessed with the will to live, a resurrected female corpse, and a archaeologist and his unstable artist daughter, in a fantasy tale of life and death.",252,"[{'id': 'nm0453579', 'name': 'Kim Ki-young'}]","[{'id': 'nm1141765', 'name': 'Ja-ok Kim'}, {'id': 'nm1126405', 'name': 'Jeong-cheol Kim'}, {'id': 'nm1067148', 'name': 'Man Kim'}, {'id': 'nm0938860', 'name': 'Won Namkung'}]",ko
"https://m.media-amazon.com/images/M/MV5BZTM2M2IxYTYtMjllYS00Y2U5LTg5MzktOGRiODY2YjI5ZjAxXkEyXkFqcGdeQXVyMjUyNDk2ODc@._V1_UY98_CR37,0,67,98_AL_.jpg",tt0077277,Huo shao shao lin men,1978,76.0,"Action, Adventure",6.6,,Lee Ching Lung has survived the dishonorable attempt on his life by the Japanese and is recovering with the help of a poor farmer. The Japanese general learns this and is determined to kill everyone in the way of disposing of Lee.,107,"[{'id': 'nm0620596', 'name': 'Seok-hoon Nam'}]","[{'id': 'nm0398969', 'name': 'Bruce Le'}, {'id': 'nm4912321', 'name': 'Bing-Hung Li'}, {'id': 'nm4938228', 'name': 'Nelson Lee'}, {'id': 'nm1163187', 'name': 'Su-cheon Bae'}]",ko
"https://m.media-amazon.com/images/M/MV5BMjAzODc0OTUzMF5BMl5BanBnXkFtZTcwNDM4MDgxMQ@@._V1_UY98_CR2,0,67,98_AL_.jpg",tt0164428,Gaksital Lyeoguichyaep,1978,83.0,"Action, Drama",5.4,,The Master of Manchuria's most renowned school of kung-fu is slaughtered when he resists the invading Japanese. His eldest son is beaten so badly he becomes mentally retarded. The second ...                See full summary »,115,"[{'id': 'nm1553330', 'name': 'Seon-kyeong Kim'}]","[{'id': 'nm0150940', 'name': 'Chao-jung Chen'}, {'id': 'nm0156542', 'name': 'Il-do Jang'}, {'id': 'nm1278877', 'name': 'Min-gyu Choe'}, {'id': 'nm1409871', 'name': 'Robby Ban'}]",ko
"https://m.media-amazon.com/images/M/MV5BZTgzYWY5ODYtZjkyNS00ZTc5LTg4YWMtN2U1Y2ZiZjVlY2YwXkEyXkFqcGdeQXVyMjEzNDM2NTI@._V1_UY98_CR15,0,67,98_AL_.jpg",tt0308306,Geomeun meori,1964,108.0,"Crime, Drama",6.2,,"The wife of a gangster, discarded after she is raped by another man, turns to prostitution.",101,"[{'id': 'nm0497802', 'name': 'Lee Man-hee'}]","[{'id': 'nm0600628', 'name': 'Jeong-suk Moon'}, {'id': 'nm5813257', 'name': 'Dong-he Jang'}, {'id': 'nm0947941', 'name': 'Dae-yeob Lee'}, {'id': 'nm1126413', 'name': 'Woon-ha Kim'}]",ko
"https://m.media-amazon.com/images/M/MV5BYmNjMTU1NmQtYjg4Yy00ZDBkLWFiMTYtYTk0NzkwMTNmMmI2XkEyXkFqcGdeQXVyMzMxODgwODI@._V1_UY98_CR4,0,67,98_AL_.jpg",tt0298045,Maeui gyedan,1964,108.0,Thriller,6.6,,"A man wants to leave his mistress so he can marry the daughter of the director of the hospital. However, complications ensue and the devil in this man is released.",114,"[{'id': 'nm0497802', 'name': 'Lee Man-hee'}]","[{'id': 'nm0600628', 'name': 'Jeong-suk Moon'}, {'id': 'nm0453523', 'name': 'Jin Kyu Kim'}, {'id': 'nm1064699', 'name': 'Seong-ja Bang'}]",ko
"https://m.media-amazon.com/images/M/MV5BMzg4Y2EwYzktNWI2OC00ZmJmLTkxMjktNGMzYzA2YTQyN2NjXkEyXkFqcGdeQXVyNDY5NjU5MDE@._V1_UY98_CR15,0,67,98_AL_.jpg",tt0471268,Daleun... haega kkuneun kkum,1992,103.0,"Crime, Romance, Thriller",5.1,,"A gangster in Busan is caught having an affair with his boss's mistress. The two decide to run off with the organizations money, leading to dire circumstances.",439,"[{'id': 'nm0661791', 'name': 'Park Chan-wook'}]","[{'id': 'nm1092384', 'name': 'Seung-hwan Song'}, {'id': 'nm1994412', 'name': 'Seung-Chul Lee'}, {'id': 'nm0051906', 'name': 'Eun-hee Bang'}, {'id': 'nm4292775', 'name': 'Dong-soo Kim'}]",ko
"https://m.media-amazon.com/images/M/MV5BMTI5MTgwODkwOF5BMl5BanBnXkFtZTcwMDUxNjcxMQ@@._V1_UX67_CR0,0,67,98_AL_.jpg",tt0111700,Hayan chonjaeng,1992,124.0,War,6.7,,"South Korea, 1979. Han Kiju is an alcoholic novelist who has never recovered from his year long tour as a volunteer soldier in Vietnam. When he's asked to write a book about the Korean ...                See full summary »",227,"[{'id': 'nm0161244', 'name': 'Jeong Ji-yeong'}]","[{'id': 'nm0014227', 'name': 'Sung-Ki Ahn'}, {'id': 'nm0497710', 'name': 'Lee Kyung-young'}, {'id': 'nm0793536', 'name': 'Shim Hye-jin'}, {'id': 'nm1180636', 'name': 'Do-hun Ahn'}]",ko
"https://m.media-amazon.com/images/M/MV5BOTM0NGIzZDgtZDYyYi00MTliLWI3OTktNjE4ZmQ1OGNjODAxXkEyXkFqcGdeQXVyMzY2MDk0MTk@._V1_UY98_CR1,0,67,98_AL_.jpg",tt0105075,Urideului ilgeuleojin yeongung,1992,119.0,Drama,7.4,,A fifth-grade classroom takes on a political structure which reflects Korea's history of coups and dictatorial regimes.,246,"[{'id': 'nm0661796', 'name': 'Jong-won Park'}]","[{'id': 'nm0158856', 'name': 'Choi Min-sik'}, {'id': 'nm0393239', 'name': 'Kyoung-In Hong'}, {'id': 'nm0793782', 'name': 'Goo Shin'}, {'id': 'nm14303264', 'name': 'Hyeong-gi Ahn'}]",ko
"https://m.media-amazon.com/images/M/MV5BNDFmMzcwNjAtZjI0Ni00NzYzLTg1N2EtMmVkYWY1ODdhOTdlXkEyXkFqcGdeQXVyMjUyMTE3MTc@._V1_UX67_CR0,0,67,98_AL_.jpg",tt0168937,Kotpanum chonio,1972,127.0,"Drama, Musical",5.8,,"The country is occupied by the Japanese imperialists. Koppun is selling flowers at the market to get some money to buy medicine for her sick mother. Her brother is imprisoned, her father dead and her sister blind.",234,"[{'id': 'nm0657063', 'name': 'Hak Park'}, {'id': 'nm0158758', 'name': 'Ik-gyu Choe'}]","[{'id': 'nm0359152', 'name': 'Chon Sob Han'}, {'id': 'nm0393273', 'name': 'Yong Hui Hong'}, {'id': 'nm0453643', 'name': 'Ren Rin Kim'}, {'id': 'nm9972098', 'name': 'Seung-oh Kim'}]",ko
"https://m.media-amazon.com/images/M/MV5BYWI5MTJhODUtYzQ3My00ZjA1LThkZGMtZjkxNTdlMzZiZjVjXkEyXkFqcGdeQXVyNDY5NjU5MDE@._V1_UY98_CR0,0,67,98_AL_.jpg",tt0163582,Chungyo,1972,110.0,"Drama, Horror",6.3,,A schoolgirl goes from braids to bouffant when her mother makes her a bar hostess/prostitute. She cures impotence for Professor Lee and becomes his concubine. His entrepreneurial wife is ...                See full summary »,191,"[{'id': 'nm0453579', 'name': 'Kim Ki-young'}]","[{'id': 'nm0938860', 'name': 'Won Namkung'}, {'id': 'nm0950926', 'name': 'Youn Yuh-jung'}, {'id': 'nm1073081', 'name': 'Gye-hyeon Jeon'}]",ko
