poster,imdb-id,title,release-year,runtime,genre,imdb-rating,metascore,overview,votes,directors,cast,language
"https://m.media-amazon.com/images/M/MV5BYzI1Y2ZhZTEtNzYwMC00YTc0LWE3NWYtMmJlN2VmY2RiYTlkXkEyXkFqcGdeQXVyNTI0NzU5ODc@._V1_UY98_CR1,0,67,98_AL_.jpg",tt0202055,Vanaprastham,1999,119.0,Drama,8.2,,An illicit relationship between a Kathakali dancer and a young woman from an upper caste family results in an illegitimate child. He faces hardships when she refuses to let him see their child.,1872,"[{'id': 'nm0440267', 'name': 'Shaji N. Karun'}]","[{'id': 'nm0482320', 'name': 'Mohanlal'}, {'id': 'nm0007124', 'name': 'Suhasini'}, {'id': 'nm0544891', 'name': 'Mattanoor Shankara Marar'}, {'id': 'nm0329729', 'name': 'Kalamandalam Gopi'}]",ml
"https://m.media-amazon.com/images/M/MV5BZTNhMTI0ZjktYjM2NC00ZTRjLThjYTItZjJlYmFhZmI2NmQ3XkEyXkFqcGdeQXVyOTk3NTc2MzE@._V1_UY98_CR4,0,67,98_AL_.jpg",tt0255178,Friends,1999,150.0,"Comedy, Drama",7.6,,The story of three friends from childhood and how their lives changes when one of them falls in love.,1000,"[{'id': 'nm0796504', 'name': 'Siddique'}]","[{'id': 'nm0419688', 'name': 'Jayaram'}, {'id': 'nm0611481', 'name': 'Mukesh'}, {'id': 'nm0820208', 'name': 'Sreenivasan'}, {'id': 'nm0576169', 'name': 'Meena'}]",ml
"https://m.media-amazon.com/images/M/MV5BYzQ4NjY4YTQtMTA2MS00NjA3LTkxZTQtYjdmNGYxMGY4MjU4XkEyXkFqcGdeQXVyMjkxNzQ1NDI@._V1_UY98_CR4,0,67,98_AL_.jpg",tt0251833,Megham,1999,150.0,"Comedy, Romance",6.8,,"Col. Ravi Varma Thampuran enters a village and falls in love with Meenakshi. But when he comes to know that Meenakshi has another love interest, forgetting his sadness, he tries to unite them against the opposition from their families.",427,"[{'id': 'nm0698184', 'name': 'Priyadarshan'}]","[{'id': 'nm0007123', 'name': 'Mammootty'}, {'id': 'nm0226770', 'name': 'Dileep'}, {'id': 'nm0318721', 'name': 'Priya Gill'}, {'id': 'nm0820208', 'name': 'Sreenivasan'}]",ml
"https://m.media-amazon.com/images/M/MV5BMDA2ZDFkOTgtZDhkNC00YTc1LWI5MzAtMDkzZTRlOGQ3Yzk1XkEyXkFqcGdeQXVyOTk3NTc2MzE@._V1_UY98_CR3,0,67,98_AL_.jpg",tt0255675,Veendum Chila Veettukaryangal,1999,150.0,"Comedy, Drama, Romance",7.7,,"Conflicts between a father and son, when the unemployed son brings his love to the family without the consent of the parents.",668,"[{'id': 'nm0030791', 'name': 'Sathyan Anthikad'}]","[{'id': 'nm0419688', 'name': 'Jayaram'}, {'id': 'nm0858128', 'name': 'Thilakan'}, {'id': 'nm0890062', 'name': 'Samyuktha Varma'}, {'id': 'nm0433884', 'name': 'K.P.A.C. Lalitha'}]",ml
"https://m.media-amazon.com/images/M/MV5BYjgyMGI4NWMtNTk1OS00NmRhLWJlNzctNTliNjMyNDNkMmRjXkEyXkFqcGdeQXVyMjkxNzQ1NDI@._V1_UY98_CR15,0,67,98_AL_.jpg",tt0255043,Chandranudikkunna Dikhil,1999,151.0,Romance,6.7,,Dileep comes to a rural town to start his job as the local bank field officer. Through a series of events he meets and falls in love with Kavya there and plans to get married. But fate changes the course and outcome of their life and love.,297,"[{'id': 'nm0430485', 'name': 'Lal Jose'}]","[{'id': 'nm0226770', 'name': 'Dileep'}, {'id': 'nm0890062', 'name': 'Samyuktha Varma'}, {'id': 'nm0534858', 'name': 'Kavya Madhavan'}, {'id': 'nm0579756', 'name': 'Biju Menon'}]",ml
"https://m.media-amazon.com/images/M/MV5BYzdmNzkyYmQtZDU5Ni00YmI3LWJmY2EtMzlhZmQ2YzZjNWZjXkEyXkFqcGdeQXVyMjkxNzQ1NDI@._V1_UY98_CR13,0,67,98_AL_.jpg",tt0255442,Olympiyan Anthony Adam,1999,,"Crime, Thriller",6.5,,A police officer goes undercover in a school to find a criminal via his kin.,671,"[{'id': 'nm0080143', 'name': 'Bhadran'}]","[{'id': 'nm0482320', 'name': 'Mohanlal'}, {'id': 'nm0576169', 'name': 'Meena'}, {'id': 'nm5981429', 'name': 'Sanika Nambiar'}, {'id': 'nm8408954', 'name': 'Arun Kumar'}]",ml
"https://m.media-amazon.com/images/M/MV5BYjdlMTk0YTktZjNmOS00YmZkLTgyOWMtMzYyOGI2OWI5NmE1XkEyXkFqcGdeQXVyMjkxNzQ1NDI@._V1_UY98_CR1,0,67,98_AL_.jpg",tt0255074,Crime File,1999,,"Crime, Mystery, Thriller",6.6,,"A nun is found dead in the well of the convent that she was residing in. The police suspect the death to be a murder. Untimely death of major suspects thickens the plot, and unlikely individuals enter the list of suspects.",340,"[{'id': 'nm0534869', 'name': 'K. Madhu'}]","[{'id': 'nm0329730', 'name': 'Suresh Gopi'}, {'id': 'nm1066795', 'name': 'Vijayaraghavan'}, {'id': 'nm0762660', 'name': 'Sangeetha'}, {'id': 'nm0222145', 'name': 'Rajan P. Dev'}]",ml
"https://m.media-amazon.com/images/M/MV5BOTYwYTRiZTctZjU2NC00ZTRkLWExYTUtODU1NTBhMzU1MzM4XkEyXkFqcGdeQXVyMjkxNzQ1NDI@._V1_UY98_CR5,0,67,98_AL_.jpg",tt0255426,Niram,1999,151.0,"Comedy, Musical, Romance",7.1,,Two childhood friends realize their love for each other after being betrothed to different people.,669,"[{'id': 'nm0436382', 'name': 'Kamal'}]","[{'id': 'nm0090283', 'name': 'Kunchacko Boban'}, {'id': 'nm0787748', 'name': 'Shalini'}, {'id': 'nm0018203', 'name': 'Lalu Alex'}, {'id': 'nm0222181', 'name': 'Devan'}]",ml
"https://m.media-amazon.com/images/M/MV5BMmQyZWY1YzItNWU1MS00NmU0LTg4ZWUtNWI4NDYxMDQ0OWY0XkEyXkFqcGdeQXVyMjkxNzQ1NDI@._V1_UX67_CR0,0,67,98_AL_.jpg",tt0255664,Ustaad,1999,165.0,"Action, Drama, Thriller",6.4,,A businessman tries to secure his sister's life from his old friend who is now his enemy.,576,"[{'id': 'nm0539034', 'name': 'Sibi Malayil'}]","[{'id': 'nm0482320', 'name': 'Mohanlal'}, {'id': 'nm0881285', 'name': 'Divyaa Unni'}, {'id': 'nm0408548', 'name': 'Indraja'}, {'id': 'nm4624385', 'name': 'Rajeev'}]",ml
"https://m.media-amazon.com/images/M/MV5BNjE2MzhiZmUtNDI4OC00MWUxLTg5ZDEtNjdlNmMxMzc1ZmIxXkEyXkFqcGdeQXVyMjkxNzQ1NDI@._V1_UX67_CR0,0,67,98_AL_.jpg",tt0254928,Aakasha Ganga,1999,143.0,"Drama, Horror",6.3,,A woman is possessed by a vengeful spirit out to destroy her family.,217,"[{'id': 'nm0898524', 'name': 'Vinayan'}]","[{'id': 'nm0881285', 'name': 'Divyaa Unni'}, {'id': 'nm7083444', 'name': 'Mayoori'}, {'id': 'nm1182296', 'name': 'Riyaz Pathanapuram'}, {'id': 'nm0611481', 'name': 'Mukesh'}]",ml
