poster,imdb-id,title,release-year,runtime,genre,imdb-rating,metascore,overview,votes,directors,cast,language
"https://m.media-amazon.com/images/M/MV5BNDlkNmEzZjAtZGNmYi00Njc4LThmZmEtZGNiY2ExZTA2NmQyXkEyXkFqcGdeQXVyNjUyMTgxNjA@._V1_UY98_CR2,0,67,98_AL_.jpg",tt0024266,La llorona,1933,73.0,"Horror, Mystery",5.7,,"In modern day Mexico, a man on the street is supernaturally killed after hearing the eerie sound of a wailing woman. We then arrive at the manor of an upper class family, who are ...                See full summary »",295,"[{'id': 'nm0679283', 'name': 'Ramón Peón'}]","[{'id': 'nm0673023', 'name': 'Ramón Pereda'}, {'id': 'nm0958824', 'name': 'Virginia Zurí'}, {'id': 'nm0649651', 'name': 'Carlos Orellana'}, {'id': 'nm0482789', 'name': 'Adriana Lamar'}]",es
"https://m.media-amazon.com/images/M/MV5BOWUzZGQzMDktZjU2Mi00Y2IzLTk2YWQtZGRhNDhmYmQ0OGNmXkEyXkFqcGdeQXVyMzg1ODEwNQ@@._V1_UX67_CR0,0,67,98_AL_.jpg",tt0023887,Child of Manhattan,1933,70.0,"Drama, Romance",6.4,,Paul Vanderkill is extraordinarily wealthy because his grandfather happened to buy farmland in what was to become Midtown Manhattan. The Loveland Dance Hall is one of the tenants of the ...                See full summary »,265,"[{'id': 'nm0125636', 'name': 'Edward Buzzell'}]","[{'id': 'nm0007216', 'name': 'Nancy Carroll'}, {'id': 'nm0092900', 'name': 'John Boles'}, {'id': 'nm0427659', 'name': 'Buck Jones'}, {'id': 'nm0707771', 'name': 'Jessie Ralph'}]",es
"https://m.media-amazon.com/images/M/MV5BMTg0NTExMDc2N15BMl5BanBnXkFtZTcwNzgwMzYzMQ@@._V1_UY98_CR1,0,67,98_AL_.jpg",tt0024470,El prisionero 13,1933,76.0,"Drama, War",7.1,,"El Prisionero 13 (Prisoner 13) is part of the trilogy of films made by Fernando Fuentes concerning the Mexican Revolution. The film centers on the drunkard Colonel Carrasco, whose wife ...                See full summary »",176,"[{'id': 'nm0297414', 'name': 'Fernando de Fuentes'}]","[{'id': 'nm0226170', 'name': 'Alfredo del Diestro'}, {'id': 'nm0056832', 'name': 'Luis G. Barreiro'}, {'id': 'nm0784754', 'name': 'Adela Sequeyro'}, {'id': 'nm0133142', 'name': 'Arturo Campoamor'}]",es
"https://m.media-amazon.com/images/M/MV5BZTFlMWI5YTUtYzI0Mi00MjNmLTgzYTMtNTAzYmUzN2UwOGIyXkEyXkFqcGdeQXVyMjUxODE0MDY@._V1_UY98_CR2,0,67,98_AL_.jpg",tt0027156,Under the Pampas Moon,1935,78.0,"Music, Musical, Romance",5.9,,Cesare Campo is a hard-riding and hard-loving Argentine gaucho. Yvonne LaMarr is a famous Parisian singer on her way to play an engagement in a Buenos Aires cabaret. THe plane she is flying...                See full summary »,120,"[{'id': 'nm0864006', 'name': 'James Tinling'}]","[{'id': 'nm0062828', 'name': 'Warner Baxter'}, {'id': 'nm0302878', 'name': 'Ketti Gallian'}, {'id': 'nm0587534', 'name': 'John Miljan'}, {'id': 'nm0619798', 'name': 'J. Carrol Naish'}]",es
"https://m.media-amazon.com/images/M/MV5BZTI5NWQ0YjAtOWUzOC00ZTgwLThkYjgtMjVmM2VmZjBlM2VlXkEyXkFqcGdeQXVyOTY2MDcwNw@@._V1_UY98_CR1,0,67,98_AL_.jpg",tt0027077,Tango Bar,1935,62.0,"Drama, Musical",6.3,,"Ricardo Fuentes (Carlos Gardel) leaves Buenos Aires after loosing in horse races to go to Barcelona, where he plans to open a tango bar, a new concept of tango dance show and dance saloon. ...                See full summary »",124,"[{'id': 'nm0718115', 'name': 'John Reinhardt'}]","[{'id': 'nm0306624', 'name': 'Carlos Gardel'}, {'id': 'nm0604174', 'name': 'Rosita Moreno'}, {'id': 'nm0220534', 'name': 'Enrique de Rosas'}, {'id': 'nm0527193', 'name': 'Tito Lusiardo'}]",es
"https://m.media-amazon.com/images/M/MV5BZGI5NjgzMGQtODQ1NC00MDc2LWE5YzgtNWRhMTM3NDZiNzg2XkEyXkFqcGdeQXVyNjU0ODkwMTU@._V1_UY98_CR2,0,67,98_AL_.jpg",tt0026301,El día que me quieras,1935,82.0,"Drama, Musical, Romance",7.0,,Carlos Argüelles is the son of a wealthy man whose only interests in life are business and making money. While trying to succeed in show business he falls in love with a dancer and they elope to marry. But success is not easy to obtain.,149,"[{'id': 'nm0718115', 'name': 'John Reinhardt'}]","[{'id': 'nm0306624', 'name': 'Carlos Gardel'}, {'id': 'nm0604174', 'name': 'Rosita Moreno'}, {'id': 'nm0527193', 'name': 'Tito Lusiardo'}, {'id': 'nm0671383', 'name': 'Manuel Peluffo'}]",es
"https://m.media-amazon.com/images/M/MV5BMGM0MjgwMzctMzhiZS00MmI4LTg2ZTYtYmJmMDUxMjMxMzg2XkEyXkFqcGdeQXVyMzg1ODEwNQ@@._V1_UX67_CR0,0,67,98_AL_.jpg",tt0026747,Music Is Magic,1935,66.0,"Comedy, Drama, Music",6.2,,Aging star (Daniels) finally recognizes the truth when she is replaced in her new movie by a girl from the chorus (Faye).,131,"[{'id': 'nm0550892', 'name': 'George Marshall'}]","[{'id': 'nm0269647', 'name': 'Alice Faye'}, {'id': 'nm0908124', 'name': 'Ray Walker'}, {'id': 'nm0199841', 'name': 'Bebe Daniels'}, {'id': 'nm0593333', 'name': 'Frank Mitchell'}]",es
"https://m.media-amazon.com/images/M/MV5BYWE0OTQ1ZGUtZDdkMC00NGI3LTkxOTUtMmZmNDk1ZWZkYmRmXkEyXkFqcGdeQXVyNDc2NjEyMw@@._V1_UX67_CR0,0,67,98_AL_.jpg",tt0025942,La verbena de la Paloma,1935,78.0,Musical,6.2,,"A little love drama between Julián, an honest typesetter, and 'chulapa' Susana, adapted from a famous Spanish 'zarzuela'.",126,"[{'id': 'nm0674398', 'name': 'Benito Perojo'}]","[{'id': 'nm0002816', 'name': 'Miguel Ligero'}, {'id': 'nm0721158', 'name': 'Roberto Rey'}, {'id': 'nm0735018', 'name': 'Raquel Rodrigo'}, {'id': 'nm0701858', 'name': 'Sélica Pérez Carpio'}]",es
"https://m.media-amazon.com/images/M/MV5BNTQ0MjVhNmEtMThiOC00ZWRjLTkwZTctZDAwMzZiODQyMjY0XkEyXkFqcGdeQXVyNTUyMTMyMDg@._V1_UY98_CR41,0,67,98_AL_.jpg",tt0026789,Nobleza baturra,1935,85.0,Drama,6.2,,"Pilar, a young Aragonese girl, is loved by two men. The rejected one makes believe she's been dishonest in a way hard to clear out.",100,"[{'id': 'nm0721074', 'name': 'Florián Rey'}]","[{'id': 'nm0034477', 'name': 'Imperio Argentina'}, {'id': 'nm0002816', 'name': 'Miguel Ligero'}, {'id': 'nm0649563', 'name': 'Juan de Orduña'}, {'id': 'nm0130382', 'name': 'José Calle'}]",es
"https://m.media-amazon.com/images/M/MV5BMTc2NTYzMzktMTNkNS00MmRiLTg3ZDctNmVjMjUxZWM2N2Q2XkEyXkFqcGdeQXVyNDkzNTM2ODg@._V1_UX67_CR0,0,67,98_AL_.jpg",tt0022941,The Girl from Chicago,1932,70.0,"Crime, Drama",4.6,,"An undercover government agent on a case in Mississipi meets and falls in love with a beautiful young woman who's being menaced by a local crime boss. He rescues the girl, and they leave ...                See full summary »",210,"[{'id': 'nm0584778', 'name': 'Oscar Micheaux'}]","[{'id': 'nm0537070', 'name': 'Carl Mahon'}, {'id': 'nm0130593', 'name': 'Starr Calloway'}, {'id': 'nm0750975', 'name': 'Alice B. Russell'}, {'id': 'nm0111979', 'name': 'Eunice Brooks'}]",es
"https://m.media-amazon.com/images/M/MV5BMzBkN2QzZDktN2Y5Ni00NTgyLTkxOWUtY2U1NjMyNWIxMjhiXkEyXkFqcGdeQXVyMTIwMDE2OTU4._V1_UX67_CR0,0,67,98_AL_.jpg",tt0022339,Santa,1932,81.0,Drama,6.8,,Woman turns to prostitution after her beloved soldier leaves her.,244,"[{'id': 'nm0603875', 'name': 'Antonio Moreno'}]","[{'id': 'nm0869830', 'name': 'Lupita Tovar'}, {'id': 'nm0649651', 'name': 'Carlos Orellana'}, {'id': 'nm0554819', 'name': 'Juan José Martínez Casado'}, {'id': 'nm0318829', 'name': 'Donald Reed'}]",es
"https://m.media-amazon.com/images/M/MV5BMDViYzQ4NTQtYjg1OC00ZjkzLWI4NWUtNzgwMTYxNDIyMDgzXkEyXkFqcGdeQXVyMTA0MjU0Ng@@._V1_UY98_CR2,0,67,98_AL_.jpg",tt0047216,Marcelino pan y vino,1955,91.0,"Comedy, Drama",7.1,,"Marcelino is an orphan who grows up in a monastery. One day when he eats his small meal in a room full of old things, he gives a piece of his bread to an old wooden Jesus figure--which ...                See full summary »",2545,"[{'id': 'nm0883334', 'name': 'Ladislao Vajda'}]","[{'id': 'nm0729157', 'name': 'Rafael Rivelles'}, {'id': 'nm0896060', 'name': 'Antonio Vico'}, {'id': 'nm0130955', 'name': 'Juan Calvo'}, {'id': 'nm0205784', 'name': 'José Marco Davó'}]",es
"https://m.media-amazon.com/images/M/MV5BNzdmMmNhODMtYzlhYy00YWNlLTk2NWMtOGQyZDdiMWU5OThmXkEyXkFqcGdeQXVyNDE5MTU2MDE@._V1_UY98_CR1,0,67,98_AL_.jpg",tt0048037,Ensayo de un crimen,1955,89.0,"Comedy, Crime, Drama",7.6,,"The delirious journey of a mental disordered man, who is obsessed in making the perfect crime.",5646,"[{'id': 'nm0000320', 'name': 'Luis Buñuel'}]","[{'id': 'nm0022172', 'name': 'Ernesto Alonso'}, {'id': 'nm0827797', 'name': 'Miroslava'}, {'id': 'nm0479872', 'name': 'Rita Macedo'}, {'id': 'nm0920628', 'name': 'Ariadne Welter'}]",es
"https://m.media-amazon.com/images/M/MV5BMDE2N2FhZmEtNTkxZS00ZDk5LTk5NTAtNmE0YjEzMjM3NmJlXkEyXkFqcGdeQXVyMTA0MjU0Ng@@._V1_UY98_CR0,0,67,98_AL_.jpg",tt0048394,Muerte de un ciclista,1955,88.0,"Crime, Drama, Film-Noir",7.7,,A couple having an affair strike a bicyclist with their car and do not offer aid out of fear of their relationship being exposed.,4244,"[{'id': 'nm0054219', 'name': 'Juan Antonio Bardem'}]","[{'id': 'nm0098393', 'name': 'Lucia Bosè'}, {'id': 'nm0167070', 'name': 'Alberto Closas'}, {'id': 'nm0181053', 'name': 'Bruna Corrà'}, {'id': 'nm0142976', 'name': 'Carlos Casaravilla'}]",es
"https://m.media-amazon.com/images/M/MV5BZGEwZTRiNWYtZjViNi00M2I4LWJlODMtN2UxZmRkMTQwZmRhL2ltYWdlXkEyXkFqcGdeQXVyNzA4ODc3ODU@._V1_UY98_CR1,0,67,98_AL_.jpg",tt0046961,Escuela de vagabundos,1955,99.0,"Comedy, Drama",8.1,,"Alberto Medina is a very famous composer and is on a field trip when his car runs out of gas and goes downhill. While looking for help, he finds the Valverdes' house and is welcome by ...                See full summary »",712,"[{'id': 'nm0327950', 'name': 'Rogelio A. González'}]","[{'id': 'nm0408626', 'name': 'Pedro Infante'}, {'id': 'nm0827797', 'name': 'Miroslava'}, {'id': 'nm0144565', 'name': 'Blanca de Castejón'}, {'id': 'nm0700354', 'name': 'Óscar Pulido'}]",es
"https://m.media-amazon.com/images/M/MV5BMTU2NDc0Mzk2Nl5BMl5BanBnXkFtZTcwMjk3MjcxMQ@@._V1_UY98_CR1,0,67,98_AL_.jpg",tt0047654,La vida no vale nada,1955,100.0,Drama,7.3,,"Con una perspectiva un poco fatalista sobre la naturaleza humana y la búsqueda de la felicidad a través del amor, Pablo experimenta de manera cínica algunas relaciones sin éxito.",123,"[{'id': 'nm0327950', 'name': 'Rogelio A. González'}]","[{'id': 'nm0408626', 'name': 'Pedro Infante'}, {'id': 'nm0334650', 'name': 'Rosario Granados'}, {'id': 'nm0812929', 'name': 'Domingo Soler'}, {'id': 'nm0350081', 'name': 'Magda Guzmán'}]",es
