poster,imdb-id,title,release-year,runtime,genre,imdb-rating,metascore,overview,votes,directors,cast,language
"https://m.media-amazon.com/images/M/MV5BNzg2NDRhODAtYWNjNi00YmVlLTg2YjQtZmE3ZjU5NjQ3NDI0XkEyXkFqcGdeQXVyMjM3NjAwODc@._V1_UY98_CR3,0,67,98_AL_.jpg",tt0254845,Vasantha Maligai,1972,162.0,"Drama, Romance",6.7,,A woman must overcome a wealthy alcoholic's wicked family as she tries to help him turn his life around.,122,"[{'id': 'nm0433892', 'name': 'K.S. Prakash Rao'}]","[{'id': 'nm0659250', 'name': 'Pandari Bai'}, {'id': 'nm1163202', 'name': 'K. Balaji'}, {'id': 'nm0304262', 'name': 'Shivaji Ganesan'}, {'id': 'nm0474884', 'name': 'Shanta Kumari'}]",ta
"https://m.media-amazon.com/images/M/MV5BOGI2OTliMzQtZTc2Ni00MWRiLWExNjYtZWE0MmM2NGIyZGJjXkEyXkFqcGdeQXVyMzU0NzkwMDg@._V1_UY98_CR1,0,67,98_AL_.jpg",tt0364456,Kasethan Kadavulada,1972,135.0,Comedy,7.4,,"Parvathi dominates her husband Sivaswamy, while having control on all his money. However, when Sivaswamy's son Ramu needs some money for his sister's husband, Parvathi refuses bluntly.",187,"[{'id': 'nm1367024', 'name': 'Chitralaya Gopu'}]","[{'id': 'nm0482285', 'name': 'Lakshmi'}, {'id': 'nm7390393', 'name': 'Aachi Manorama'}, {'id': 'nm1166534', 'name': 'Venniradai Moorthy'}, {'id': 'nm1150184', 'name': 'R. Muthuraman'}]",ta
"https://m.media-amazon.com/images/M/MV5BOGZmZTNlZDctMzgxNi00Y2I1LWE2MTEtNjNjM2RlNDcyMDQzXkEyXkFqcGdeQXVyNjQ1MDcxNzM@._V1_UY98_CR1,0,67,98_AL_.jpg",tt0156874,Pasamalar,1961,197.0,Drama,7.6,,The bond of love between a brother and a sister is tested due to the machinations of a greedy relative.,208,"[{'id': 'nm0080406', 'name': 'A. Bhimsingh'}]","[{'id': 'nm0304262', 'name': 'Shivaji Ganesan'}, {'id': 'nm0767800', 'name': 'Savitri'}, {'id': 'nm0304261', 'name': 'Gemini Ganesan'}, {'id': 'nm1173327', 'name': 'K.A. Thangavelu'}]",ta
"https://m.media-amazon.com/images/M/MV5BM2I4MTY3ZTItNmJjNS00MWVmLWJkMjItMTlhNWMwZTY2MzcyXkEyXkFqcGdeQXVyMzU0NzkwMDg@._V1_UY98_CR0,0,67,98_AL_.jpg",tt0250460,Kappalottiya Thamizhan,1961,197.0,"Biography, Drama, History",7.9,,"Biography of Kappalottiya Tamizhan, ""The Tamil Helmsman"", an Indian freedom fighter and founder of Swadeshi Steam Navigation Company, to compete against the monopoly of the British India Steam Navigation Company.",105,"[{'id': 'nm0659849', 'name': 'B. Ramakrishnaiah Panthulu'}]","[{'id': 'nm0304262', 'name': 'Shivaji Ganesan'}, {'id': 'nm0304261', 'name': 'Gemini Ganesan'}, {'id': 'nm0767800', 'name': 'Savitri'}, {'id': 'nm0788242', 'name': 'T.K. Shanmugham'}]",ta
"https://m.media-amazon.com/images/M/MV5BODQ0NTUxNWQtMjJlNy00N2VkLWJiZmYtZjRkOGUyOGFmN2NmXkEyXkFqcGdeQXVyMzU0NzkwMDg@._V1_UX67_CR0,0,67,98_AL_.jpg",tt0370279,Anbe Vaa,1966,174.0,"Comedy, Romance",7.2,,A rich industrialist finds romance in comic mix-up at a hill station.,196,"[{'id': 'nm0858235', 'name': 'A.C. Trilogchander'}]","[{'id': 'nm0707901', 'name': 'M.G. Ramachandran'}, {'id': 'nm0044600', 'name': 'Saroja Devi B.'}, {'id': 'nm0619309', 'name': 'Nagesh'}, {'id': 'nm7390393', 'name': 'Aachi Manorama'}]",ta
"https://m.media-amazon.com/images/M/MV5BMTc5MThhMWYtOWU0Ni00MzczLTliYmEtODg1MzBmYzdlMjdjXkEyXkFqcGdeQXVyODEzOTQwNTY@._V1_UY98_CR3,0,67,98_AL_.jpg",tt0246913,Saraswathi Sabatham,1966,159.0,"Comedy, Drama, Fantasy",7.8,,"Sage Naradha creates a dispute between three goddesses Saraswathi, Parvathi and Lakshmi, about who is the most powerful of them. Three of them accepts the challenge to prove their ability. Who wins the challenge ?",139,"[{'id': 'nm0619162', 'name': 'A.P. Nagarajan'}]","[{'id': 'nm0304262', 'name': 'Shivaji Ganesan'}, {'id': 'nm0304261', 'name': 'Gemini Ganesan'}, {'id': 'nm0767800', 'name': 'Savitri'}, {'id': 'nm0655803', 'name': 'Padmini'}]",ta
"https://m.media-amazon.com/images/M/MV5BMWQzODU4ODUtYzE1My00MGIzLTgzOWMtNzZmODg3ZTY4MTc4XkEyXkFqcGdeQXVyODEzOTQwNTY@._V1_UY98_CR5,0,67,98_AL_.jpg",tt0154898,Moondru Mudichu,1976,131.0,"Drama, Romance",7.6,,"The movie revolves around three people, a college going girl (Sridevi) and two men who fall in love with her (Hassan and Rajinikanth). The film was based on 1974 Telugu film O Seeta Katha ...                See full summary »",306,"[{'id': 'nm0049335', 'name': 'K. Balachander'}]","[{'id': 'nm0352032', 'name': 'Kamal Haasan'}, {'id': 'nm0004437', 'name': 'Sridevi'}, {'id': 'nm0707425', 'name': 'Rajinikanth'}, {'id': 'nm0944712', 'name': 'Vijaya Y.'}]",ta
"https://m.media-amazon.com/images/M/MV5BN2RiMTI3OGItNDY2NS00MjIyLTkzODQtMzAwN2ZiMjJlYTk5XkEyXkFqcGdeQXVyMjIyODE5NDU@._V1_UX67_CR0,0,67,98_AL_.jpg",tt0154838,Manmatha Leelai,1976,161.0,"Comedy, Drama, Romance",6.8,,It is about a married man involving in romantic escapades outside marriage and learns his mistakes in the end.,148,"[{'id': 'nm0049335', 'name': 'K. Balachander'}]","[{'id': 'nm0352032', 'name': 'Kamal Haasan'}, {'id': 'nm2458792', 'name': 'Aalam'}, {'id': 'nm2458934', 'name': 'Hema Chaudhari'}, {'id': 'nm0354680', 'name': 'Halam'}]",ta
"https://m.media-amazon.com/images/M/MV5BOTRlYjJhMTItY2FlOC00ZDc3LWIwNTctMTI2YTFmODFkZWUzXkEyXkFqcGdeQXVyOTIzODUxMjk@._V1_UX67_CR0,0,67,98_AL_.jpg",tt0155329,Varumayin Niram Sigappu,1980,138.0,Drama,8.3,,Poetical forces play in the life of an unemployed yet well educated young man.He finds the depth and the beauty of his principles yet fate leaves him in destitution,1073,"[{'id': 'nm0049335', 'name': 'K. Balachander'}]","[{'id': 'nm0352032', 'name': 'Kamal Haasan'}, {'id': 'nm0004437', 'name': 'Sridevi'}, {'id': 'nm0693092', 'name': 'Prathap Pothen'}, {'id': 'nm0226771', 'name': 'Dilip'}]",ta
"https://m.media-amazon.com/images/M/MV5BY2IyOGIxZTQtMDFjMi00YTc1LTg5NTAtN2YzNGE5NDZlOTcyXkEyXkFqcGdeQXVyNjQ1MDcxNzM@._V1_UY98_CR1,0,67,98_AL_.jpg",tt0279249,Murattu Kaalai,1980,144.0,"Action, Drama",6.8,,"Kaaliyan and Jaishankar are like dictators in neighboring villages separately, but in contrast to Kaaliyan, Jaishankar is selfish and bad. Engagement of Jaishankar's sister with Kaaliyan triggers rivalry between the two villages.",324,"[{'id': 'nm0616114', 'name': 'S.P. Muthuraman'}]","[{'id': 'nm0707425', 'name': 'Rajinikanth'}, {'id': 'nm1126254', 'name': 'Jaishankar'}, {'id': 'nm0013159', 'name': 'Rati Agnihotri'}, {'id': 'nm0838517', 'name': 'Sumalatha'}]",ta
"https://m.media-amazon.com/images/M/MV5BZDY0YjY4ZDItYjA0OC00YjlkLTk4ZTEtNDNmYjMxOWE2YTVjXkEyXkFqcGdeQXVyMTE1MjcwOTA4._V1_UY98_CR53,0,67,98_AL_.jpg",tt0235604,Moodupani,1980,131.0,"Crime, Thriller",6.9,,"A successful businessman develops a hatred towards women as a result of his troubled childhood, which involved the separation of his parents owing to his father's affection towards a prostitute.",2112,"[{'id': 'nm0536818', 'name': 'Balu Mahendra'}]","[{'id': 'nm0693092', 'name': 'Prathap Pothen'}, {'id': 'nm1685564', 'name': 'Shobha'}, {'id': 'nm1647862', 'name': 'Malasia Bhaskar'}, {'id': 'nm1314762', 'name': 'Gandhimathi'}]",ta
"https://m.media-amazon.com/images/M/MV5BNTIzZDVmZWUtYzRkZC00MDAyLTk0NjUtOWI4Y2JiODhmOTQyXkEyXkFqcGdeQXVyOTk3NTc2MzE@._V1_UX67_CR0,0,67,98_AL_.jpg",tt0364236,Billa,1980,175.0,"Action, Crime, Thriller",7.5,,A village bumpkin poses as a Mafia don to uncover the gang.,863,"[{'id': 'nm0471471', 'name': 'R. Krishnamurthy'}]","[{'id': 'nm0707425', 'name': 'Rajinikanth'}, {'id': 'nm0820266', 'name': 'Sripriya'}, {'id': 'nm1163202', 'name': 'K. Balaji'}, {'id': 'nm0707345', 'name': 'A.V.M. Rajan'}]",ta
